lon lat veast_eu vnorth_eu seast snorth covassumed0 name type
112.08000 34.74000 NaN NaN NaN NaN 0 leve Leveling
112.10000 34.73000 NaN NaN NaN NaN 0 leve Leveling
112.51000 34.70000 NaN NaN NaN NaN 0 leve Leveling
112.71000 34.73000 NaN NaN NaN NaN 0 leve Leveling
112.79000 34.72000 NaN NaN NaN NaN 0 leve Leveling
112.94000 34.74000 NaN NaN NaN NaN 0 leve Leveling
113.12000 34.82000 NaN NaN NaN NaN 0 leve Leveling
113.19000 34.83000 NaN NaN NaN NaN 0 leve Leveling
113.21000 34.84000 NaN NaN NaN NaN 0 leve Leveling
113.24000 34.84000 NaN NaN NaN NaN 0 leve Leveling
113.28000 34.81000 NaN NaN NaN NaN 0 leve Leveling
113.33000 34.80000 NaN NaN NaN NaN 0 leve Leveling
111.99000 35.75000 NaN NaN NaN NaN 0 leve Leveling
111.18000 35.03000 NaN NaN NaN NaN 0 leve Leveling
111.20000 35.00000 NaN NaN NaN NaN 0 leve Leveling
111.21000 34.86000 NaN NaN NaN NaN 0 leve Leveling
111.27000 34.86000 NaN NaN NaN NaN 0 leve Leveling
111.30000 34.87000 NaN NaN NaN NaN 0 leve Leveling
111.33000 34.88000 NaN NaN NaN NaN 0 leve Leveling
111.36000 34.85000 NaN NaN NaN NaN 0 leve Leveling
111.35000 34.82000 NaN NaN NaN NaN 0 leve Leveling
111.34000 34.82000 NaN NaN NaN NaN 0 leve Leveling
111.34000 34.78000 NaN NaN NaN NaN 0 leve Leveling
111.28000 34.77000 NaN NaN NaN NaN 0 leve Leveling
112.02000 35.74000 NaN NaN NaN NaN 0 leve Leveling
112.11000 35.73000 NaN NaN NaN NaN 0 leve Leveling
112.23000 35.69000 NaN NaN NaN NaN 0 leve Leveling
112.28000 35.70000 NaN NaN NaN NaN 0 leve Leveling
112.39000 35.73000 NaN NaN NaN NaN 0 leve Leveling
112.42000 35.72000 NaN NaN NaN NaN 0 leve Leveling
112.74000 35.73000 NaN NaN NaN NaN 0 leve Leveling
112.79000 35.72000 NaN NaN NaN NaN 0 leve Leveling
112.91000 35.77000 NaN NaN NaN NaN 0 leve Leveling
112.84000 35.95000 NaN NaN NaN NaN 0 leve Leveling
112.94000 36.02000 NaN NaN NaN NaN 0 leve Leveling
113.15000 36.22000 NaN NaN NaN NaN 0 leve Leveling
113.32000 36.39000 NaN NaN NaN NaN 0 leve Leveling
113.32000 36.43000 NaN NaN NaN NaN 0 leve Leveling
113.36000 36.46000 NaN NaN NaN NaN 0 leve Leveling
113.38000 36.50000 NaN NaN NaN NaN 0 leve Leveling
113.53000 36.52000 NaN NaN NaN NaN 0 leve Leveling
113.65000 36.54000 NaN NaN NaN NaN 0 leve Leveling
113.67000 36.56000 NaN NaN NaN NaN 0 leve Leveling
113.82000 36.71000 NaN NaN NaN NaN 0 leve Leveling
113.92000 36.75000 NaN NaN NaN NaN 0 leve Leveling
113.98000 36.81000 NaN NaN NaN NaN 0 leve Leveling
114.01000 36.79000 NaN NaN NaN NaN 0 leve Leveling
114.05000 36.78000 NaN NaN NaN NaN 0 leve Leveling
